time,x_tf,y_tf,x_pf,y_pf
1747641547.639623880,-2.877490315309582,-6.47812503187599,-2.890808202051493,-6.482023467481326
1747641547.672735929,-2.893336094094785,-6.429400111072908,-2.904353307079756,-6.4310843632749135
1747641547.709831715,-2.9124609366190954,-6.362479169304563,-2.9212848036016514,-6.38041957059241
1747641547.745491743,-2.921036947916955,-6.328514587157486,-2.9383168135963924,-6.323301058206521
1747641547.782459497,-2.939594397445845,-6.241472902442613,-2.9474696580889215,-6.263244889034426
1747641547.818161726,-2.9459757986284476,-6.2052094530366855,-2.955060545009802,-6.206831964050676
1747641547.853765488,-2.951629536912447,-6.168466561132713,-2.9630307635722364,-6.170344477296225
1747641547.865456104,-2.9542064553531873,-6.1499755939937,-2.968446943790498,-6.138341208303561
1747641547.892807245,-2.9612935579327804,-6.094077532254484,-2.971010522742408,-6.100483905259894
1747641548.052362442,-2.985900164402021,-5.815279162293853,-2.9788312620869624,-6.045734930704782
1747641548.097924948,-2.9872888847567274,-5.7732302726140805,-2.9978881975846616,-5.760579480889281
1747641548.158971310,-2.9881632925158765,-5.709766437395622,-2.9905325185367264,-5.7081476669175135
1747641548.193039656,-2.9881904653481444,-5.688398933151029,-2.999393969062811,-5.662841605321123
1747641548.246547222,-2.9871529752783617,-5.622836375300365,-2.9938474307572887,-5.630195744521801
1747641548.261136055,-2.985635509694751,-5.578448663709197,-2.988187477056137,-5.584765010135208
1747641548.309681892,-2.9820794878045254,-5.511436402313795,-2.9882684200749092,-5.516472763422234
1747641548.327991724,-2.980474697449409,-5.488896466429259,-2.982112982471498,-5.497336830088387
1747641548.351221800,-2.978744405015624,-5.46607100534396,-2.97852423507357,-5.450759638830065
1747641548.389374733,-2.966931693516205,-5.34983118791756,-2.9797688839437675,-5.380477200798849
1747641548.412245989,-2.9575785814641793,-5.278907965891746,-2.9752540759316957,-5.331163671035806
1747641548.431984663,-2.9575785814641793,-5.278907965891746,-2.963518242730538,-5.2597408247545925
1747641548.471800566,-2.9483096323078377,-5.206014644765109,-2.9581844062470997,-5.2087649094994095
1747641548.513501406,-2.9386513369985483,-5.132257529555795,-2.9503480645699227,-5.1302872634790875
1747641548.579045057,-2.924858173860982,-5.033331714910812,-2.9340082969080323,-5.053626253591851
1747641548.607012510,-2.9212078513087856,-5.00820820829119,-2.9340794515848896,-5.0155250003664795
1747641548.648250103,-2.917382963625034,-4.982903459063006,-2.9224845096535,-4.963866870854015
